Date,Open,High,Low,Close,Adj Close,Volume
4/30/18,162.130005,167.259995,161.839996,165.259995,160.678177,42427400
5/1/18,166.410004,169.199997,165.270004,169.100006,164.411697,53569400
5/2/18,175.229996,177.75,173.800003,176.570007,171.674622,66539400
5/3/18,175.880005,177.5,174.440002,176.889999,171.985733,34068200
5/4/18,178.25,184.25,178.169998,183.830002,178.733322,56201300
5/7/18,185.179993,187.669998,184.75,185.160004,180.026459,42451400
5/8/18,184.990005,186.220001,183.669998,186.050003,180.891769,28402800
5/9/18,186.550003,187.399994,185.220001,187.360001,182.165451,23211200
5/10/18,187.740005,190.369995,187.649994,190.039993,184.771149,27989300
5/11/18,189.490005,190.059998,187.449997,188.589996,184.06842,26212200
5/14/18,189.009995,189.529999,187.860001,188.149994,183.638962,20778800
5/15/18,186.779999,187.070007,185.100006,186.440002,181.969971,23695200
5/16/18,186.070007,188.460007,186,188.179993,183.668228,19183100
5/17/18,188,188.910004,186.360001,186.990005,182.50679,17294000
5/18/18,187.190002,187.809998,186.130005,186.309998,181.843079,18297700
5/21/18,188,189.270004,186.910004,187.630005,183.131439,18400800
5/22/18,188.380005,188.880005,186.779999,187.160004,182.672684,15240700
5/23/18,186.350006,188.5,185.759995,188.360001,183.843964,20058400
5/24/18,188.770004,188.839996,186.210007,188.149994,183.638962,23234000
5/25/18,188.229996,189.649994,187.649994,188.580002,184.058655,17461000
5/29/18,187.600006,188.75,186.869995,187.899994,183.394974,22514100
5/30/18,187.720001,188,186.779999,187.5,183.004562,18690500
5/31/18,187.220001,188.229996,186.139999,186.869995,182.389633,27482800
6/1/18,187.990005,190.259995,187.75,190.240005,185.678833,23442500
6/4/18,191.639999,193.419998,191.350006,191.830002,187.230743,26266200
6/5/18,193.070007,193.940002,192.360001,193.309998,188.675247,21566000
6/6/18,193.630005,194.080002,191.919998,193.979996,189.329178,20933600
6/7/18,194.139999,194.199997,192.339996,193.460007,188.821671,21347200
6/8/18,191.169998,192,189.770004,191.699997,187.103851,26656800
6/11/18,191.350006,191.970001,190.210007,191.229996,186.645111,18308500
6/12/18,191.389999,192.610001,191.149994,192.279999,187.669937,16911100
6/13/18,192.419998,192.880005,190.440002,190.699997,186.127823,21638400
6/14/18,191.550003,191.570007,190.220001,190.800003,186.225433,21610100
6/15/18,190.029999,190.160004,188.259995,188.839996,184.312439,61719200
6/18/18,187.880005,189.220001,187.199997,188.740005,184.214798,18484900
6/19/18,185.139999,186.330002,183.449997,185.690002,181.237946,33578500
6/20/18,186.350006,187.199997,185.729996,186.5,182.028534,20628700
6/21/18,187.25,188.350006,184.940002,185.460007,181.013458,25711900
6/22/18,186.119995,186.149994,184.699997,184.919998,180.486389,27200400
6/25/18,183.399994,184.919998,180.729996,182.169998,177.802338,31663100
6/26/18,182.990005,186.529999,182.539993,184.429993,180.008163,24569200
6/27/18,185.229996,187.279999,184.029999,184.160004,179.744629,25285300
6/28/18,184.100006,186.210007,183.800003,185.5,181.052505,17365200
6/29/18,186.289993,187.190002,182.910004,185.110001,180.671844,22737700
7/2/18,183.820007,187.300003,183.419998,187.179993,182.692215,17731300
7/3/18,187.789993,187.949997,183.539993,183.919998,179.510391,13954800
7/5/18,185.259995,186.410004,184.279999,185.399994,180.954895,16604200
7/6/18,185.419998,188.429993,185.199997,187.970001,183.463272,17485200
7/9/18,189.5,190.679993,189.300003,190.580002,186.010712,19756600
7/10/18,190.710007,191.279999,190.179993,190.350006,185.786255,15939100
7/11/18,188.5,189.779999,187.610001,187.880005,183.375427,18831500
7/12/18,189.529999,191.410004,189.309998,191.029999,186.449905,18041100
7/13/18,191.080002,191.839996,190.899994,191.330002,186.742706,12513900
7/16/18,191.520004,192.649994,190.419998,190.910004,186.332794,15043100
7/17/18,189.75,191.869995,189.199997,191.449997,186.859833,15534500
7/18/18,191.779999,191.800003,189.929993,190.399994,185.835007,16393400
7/19/18,189.690002,192.550003,189.690002,191.880005,187.279556,20286800
7/20/18,191.779999,192.429993,190.169998,191.440002,186.850113,20676200
7/23/18,190.679993,191.960007,189.559998,191.610001,187.015991,15989400
7/24/18,192.449997,193.660004,192.050003,193,188.372696,18697900
7/25/18,193.059998,194.850006,192.429993,194.820007,190.149063,16709900
7/26/18,194.610001,195.960007,193.610001,194.210007,189.55368,19076000
7/27/18,194.990005,195.190002,190.100006,190.979996,186.401138,24024000
7/30/18,191.899994,192.199997,189.070007,189.910004,185.356781,21029500
7/31/18,190.300003,192.139999,189.339996,190.289993,185.727646,39373000
8/1/18,199.130005,201.759995,197.309998,201.5,196.6689,67935700
8/2/18,200.580002,208.380005,200.350006,207.389999,202.417679,62404000
8/3/18,207.029999,208.740005,205.479996,207.990005,203.003281,33447400
8/6/18,208,209.25,207.070007,209.070007,204.057388,25425400
8/7/18,209.320007,209.5,206.759995,207.110001,202.144379,25587400
8/8/18,206.050003,207.809998,204.520004,207.25,202.281052,22525500
8/9/18,209.529999,209.779999,207.199997,208.880005,203.871964,23492600
8/10/18,207.360001,209.100006,206.669998,207.529999,203.264679,24611200
8/13/18,209.309998,210.949997,207.699997,208.869995,204.577133,25890900
8/14/18,210.160004,210.559998,208.259995,209.75,205.439102,20748000
8/15/18,209.220001,210.740005,208.330002,210.240005,205.919006,28807600
8/16/18,211.75,213.809998,211.470001,213.320007,208.935715,28500400
8/17/18,213.440002,217.949997,213.160004,217.580002,213.108124,35427000
8/20/18,218.100006,219.179993,215.110001,215.460007,211.031723,30287700
8/21/18,216.800003,217.190002,214.029999,215.039993,210.620346,26159800
8/22/18,214.100006,216.360001,213.839996,215.050003,210.630157,19018100
8/23/18,214.649994,217.050003,214.600006,215.490005,211.061111,18883200
8/24/18,216.600006,216.899994,215.110001,216.160004,211.717331,18476400
8/27/18,217.149994,218.740005,216.330002,217.940002,213.460739,20525100
8/28/18,219.009995,220.539993,218.919998,219.699997,215.18457,22776800
8/29/18,220.149994,223.490005,219.410004,222.979996,218.397171,27254800
8/30/18,223.25,228.259995,222.399994,225.029999,220.405014,48793800
8/31/18,226.509995,228.869995,226,227.630005,222.951584,43340100
9/4/18,228.410004,229.179993,226.630005,228.360001,223.666595,27390100
9/5/18,228.990005,229.669998,225.100006,226.869995,222.20723,33333000
9/6/18,226.229996,227.350006,221.300003,223.100006,218.514709,34290000
9/7/18,221.850006,225.369995,220.710007,221.300003,216.751694,37619800
9/10/18,220.949997,221.850006,216.470001,218.330002,213.842728,39516500
9/11/18,218.009995,224.300003,216.559998,223.850006,219.249298,35749000
9/12/18,224.940002,225,219.839996,221.070007,216.526428,49278700
9/13/18,223.520004,228.350006,222.570007,226.410004,221.756668,41706400
9/14/18,225.75,226.839996,222.520004,223.839996,219.239487,31999300
9/17/18,222.149994,222.949997,217.270004,217.880005,213.401993,37195100
9/18/18,217.789993,221.850006,217.119995,218.240005,213.754593,31571700
9/19/18,218.5,219.619995,215.300003,218.369995,213.881897,27123800
9/20/18,220.240005,222.279999,219.149994,220.029999,215.507813,26608800
9/21/18,220.779999,221.360001,217.289993,217.660004,213.186508,96246700
9/24/18,216.820007,221.259995,216.630005,220.789993,216.252182,27693400
9/25/18,219.75,222.820007,219.699997,222.190002,217.623398,24554400
9/26/18,221,223.75,219.759995,220.419998,215.889771,23984700
9/27/18,223.820007,226.440002,223.539993,224.949997,220.32666,30181200
9/28/18,224.789993,225.839996,224.020004,225.740005,221.100433,22929400
10/1/18,227.949997,229.419998,226.350006,227.259995,222.589203,23600800
10/2/18,227.25,230,226.630005,229.279999,224.567673,24788200
10/3/18,230.050003,233.470001,229.779999,232.070007,227.300339,28654800
10/4/18,230.779999,232.350006,226.729996,227.990005,223.304199,32042000
10/5/18,227.960007,228.410004,220.580002,224.289993,219.680222,33580500
10/8/18,222.210007,224.800003,220.199997,223.770004,219.170944,29663900
10/9/18,223.639999,227.270004,222.25,226.869995,222.20723,26891000
10/10/18,225.460007,226.350006,216.050003,216.360001,211.913208,41990600
10/11/18,214.520004,219.5,212.320007,214.449997,210.04248,53124400
10/12/18,220.419998,222.880005,216.839996,222.110001,217.545044,40337900
10/15/18,221.160004,221.830002,217.270004,217.360001,212.892654,30791000
10/16/18,218.929993,222.990005,216.759995,222.149994,217.584213,29184000
10/17/18,222.300003,222.639999,219.339996,221.190002,216.643967,22885400
10/18/18,217.860001,219.740005,213,216.020004,211.5802,32581300
10/19/18,218.059998,221.259995,217.429993,219.309998,214.802567,33078700
10/22/18,219.789993,223.360001,218.940002,220.649994,216.115036,28792100
10/23/18,215.830002,223.25,214.699997,222.729996,218.152298,38767800
10/24/18,222.600006,224.229996,214.539993,215.089996,210.669327,40925500
10/25/18,217.710007,221.380005,216.75,219.800003,215.282516,29855800
10/26/18,215.899994,220.190002,212.669998,216.300003,211.854462,47258400
10/29/18,219.190002,219.690002,206.089996,212.240005,207.877899,45935500
10/30/18,211.149994,215.179993,209.270004,213.300003,208.916122,36660000
10/31/18,216.880005,220.449997,216.619995,218.860001,214.361847,38358900
11/1/18,219.050003,222.360001,216.809998,222.220001,217.652786,58323200
11/2/18,209.550003,213.649994,205.429993,207.479996,203.215714,91328700
11/5/18,204.300003,204.389999,198.169998,201.589996,197.446762,66163700
11/6/18,201.919998,204.720001,201.690002,203.770004,199.581985,31882900
11/7/18,205.970001,210.059998,204.130005,209.949997,205.634949,33424400
11/8/18,209.979996,210.119995,206.75,208.490005,204.91748,25362600
11/9/18,205.550003,206.009995,202.25,204.470001,200.966339,34365800
11/12/18,199,199.850006,193.789993,194.169998,190.84285,51135500
11/13/18,191.630005,197.179993,191.449997,192.229996,188.936081,46882900
11/14/18,193.899994,194.479996,185.929993,186.800003,183.599152,60801000
11/15/18,188.389999,191.970001,186.899994,191.410004,188.130142,46478800
11/16/18,190.5,194.970001,189.460007,193.529999,190.213806,36928300
11/19/18,190,190.699997,184.990005,185.860001,182.675247,41925300
11/20/18,178.369995,181.470001,175.509995,176.979996,173.947418,67825200
11/21/18,179.729996,180.270004,176.550003,176.779999,173.750839,31124200
11/23/18,174.940002,176.600006,172.100006,172.289993,169.337769,23624000
11/26/18,174.240005,174.949997,170.259995,174.619995,171.627838,44998500
11/27/18,171.509995,174.770004,170.880005,174.240005,171.254364,41387400
11/28/18,176.729996,181.289993,174.929993,180.940002,177.839554,46062500
11/29/18,182.660004,182.800003,177.699997,179.550003,176.473358,41770000
11/30/18,180.289993,180.330002,177.029999,178.580002,175.519989,39531500
12/3/18,184.460007,184.940002,181.210007,184.820007,181.653076,40802500
12/4/18,180.949997,182.389999,176.270004,176.690002,173.662369,41344300
12/6/18,171.759995,174.779999,170.419998,174.720001,171.726135,43098400
12/7/18,173.490005,174.490005,168.300003,168.490005,165.602905,42281600
12/10/18,165,170.089996,163.330002,169.600006,166.693863,62026000
12/11/18,171.660004,171.789993,167,168.630005,165.740494,47281700
12/12/18,170.399994,171.919998,169.020004,169.100006,166.202438,35627700
12/13/18,170.490005,172.570007,169.550003,170.949997,168.020721,31898600
12/14/18,169,169.080002,165.279999,165.479996,162.64444,40703700
12/17/18,165.449997,168.350006,162.729996,163.940002,161.130859,44287900
12/18/18,165.380005,167.529999,164.389999,166.070007,163.224365,33841500
12/19/18,166,167.449997,159.089996,160.889999,158.133102,49047300
12/20/18,160.399994,162.110001,155.300003,156.830002,154.14267,64773000
12/21/18,156.860001,158.160004,149.630005,150.729996,148.147202,95744600
12/24/18,148.149994,151.550003,146.589996,146.830002,144.314041,37169200
12/26/18,148.300003,157.229996,146.720001,157.169998,154.476852,58582500
12/27/18,155.839996,156.770004,150.070007,156.149994,153.474335,53117100
12/28/18,157.5,158.520004,154.550003,156.229996,153.552979,42291400
12/31/18,158.529999,159.360001,156.479996,157.740005,155.037109,35003500
